AeroDyn airfoil file Created with QBlade CE v2.0.7.7_beta windows on 09.12.2024 at 17:46:46 Compatible with AeroDyn v13.0.
Polar "NACA_0060_Re6.000_M0.00_N9.0 360 M" on Foil "NACA 0060" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
   -40.000 -0.621437  0.112049  0.154353
   -39.000 -0.605904  0.109548  0.152096
   -38.000 -0.590370  0.107047  0.149713
   -37.000 -0.574837  0.104546  0.147208
   -36.000 -0.559304  0.102044  0.144583
   -35.000 -0.543770  0.099543  0.141842
   -34.000 -0.528237  0.097042  0.138988
   -33.000 -0.512703  0.094541  0.136023
   -32.000 -0.497170  0.092039  0.132952
   -31.000 -0.481636  0.089538  0.129776
   -30.000 -0.466103  0.087037  0.126501
   -29.000 -0.450569  0.084536  0.111968
   -28.000 -0.435036  0.082035  0.097434
   -27.000 -0.419503  0.079533  0.082901
   -26.000 -0.403969  0.077032  0.068367
   -25.000 -0.388436  0.074531  0.053834
   -24.000 -0.372902  0.072030  0.039301
   -23.000 -0.357369  0.069528  0.024767
   -22.000 -0.341835  0.067027  0.010234
   -21.000 -0.326302  0.064526 -0.004300
   -20.000 -0.310769  0.062025 -0.018833
   -19.000 -0.295235  0.059523 -0.033366
   -18.000 -0.279702  0.057022 -0.047900
   -17.000 -0.264168  0.054521 -0.062433
   -16.000 -0.248635  0.052020 -0.076967
   -15.000 -0.111900  0.071530 -0.091500
   -14.500 -0.093100  0.068540 -0.093100
   -14.000 -0.065400  0.066160 -0.095400
   -13.500 -0.055300  0.062820 -0.096100
   -13.000 -0.032700  0.060190 -0.097700
   -12.500 -0.010400  0.057680 -0.099200
   -12.000  0.003400  0.054760 -0.099900
   -11.500  0.040900  0.053140 -0.102500
   -11.000  0.049100  0.050060 -0.102400
   -10.500  0.077700  0.048130 -0.104100
   -10.000  0.102800  0.046010 -0.105300
    -9.500  0.114100  0.043410 -0.105000
    -9.000  0.146200  0.041860 -0.106500
    -8.500  0.166500  0.039810 -0.106800
    -8.000  0.190700  0.038210 -0.107200
    -7.500  0.211600  0.036350 -0.107200
    -7.000  0.243700  0.035240 -0.108000
    -6.500  0.252200  0.033370 -0.105900
    -6.000  0.280200  0.032340 -0.105900
    -5.500  0.289800  0.030950 -0.103100
    -5.000  0.259500  0.030120 -0.092500
    -4.500  0.206500  0.029390 -0.078100
    -3.500  0.159800  0.027980 -0.060000
    -3.000  0.126600  0.027290 -0.049700
    -2.500  0.101100  0.026670 -0.040700
    -2.000  0.098600  0.026270 -0.035100
    -1.500  0.061500  0.025840 -0.024500
    -1.000  0.030400  0.025610 -0.014700
    -0.500  0.035800  0.025520 -0.010400
     0.000 -0.000100  0.025390  0.000000
     0.500 -0.036000  0.025520  0.010400
     1.000 -0.030500  0.025610  0.014700
     1.500 -0.061800  0.025820  0.024500
     2.000 -0.098900  0.026260  0.035200
     2.500 -0.101200  0.026650  0.040800
     3.000 -0.126800  0.027270  0.049800
     3.500 -0.160900  0.027930  0.060300
     4.000 -0.177100  0.028600  0.068100
     4.500 -0.206700  0.029360  0.078100
     5.000 -0.279900  0.029990  0.096400
     5.500 -0.287100  0.030850  0.102800
     6.000 -0.278800  0.032300  0.105700
     6.500 -0.251000  0.033350  0.105800
     7.000 -0.243300  0.035260  0.107900
     7.500 -0.209800  0.036330  0.106900
     8.000 -0.189400  0.038220  0.106900
     8.500 -0.164300  0.039790  0.106500
     9.000 -0.143300  0.041820  0.106100
     9.500 -0.110300  0.043340  0.104500
    10.000 -0.098900  0.045960  0.104700
    10.500 -0.072400  0.048010  0.103400
    11.000 -0.045100  0.050020  0.101900
    11.500 -0.036800  0.053110  0.101900
    12.000  0.001100  0.054730  0.099200
    12.500  0.015600  0.057630  0.098500
    13.000  0.038200  0.060140  0.096900
    13.500  0.060500  0.062800  0.095300
    14.500  0.098600  0.068550  0.092200
    15.000  0.118100  0.071510  0.090600
    15.500  0.139500  0.074320  0.088700
    16.000  0.156200  0.077530  0.087000
    16.500  0.183800  0.080010  0.084500
    17.000  0.190300  0.083950  0.083400
    17.500  0.212700  0.086850  0.081100
    18.000  0.237400  0.089600  0.078500
    18.500  0.249200  0.093260  0.076800
    19.000  0.281600  0.095470  0.073700
    19.500  0.286700  0.099600  0.072200
    20.000  0.310800  0.102410  0.069500
    21.000  0.326102  0.064526  0.055338
    22.000  0.341635  0.067027  0.041177
    23.000  0.357169  0.069528  0.027015
    24.000  0.372702  0.072030  0.012854
    25.000  0.388236  0.074531 -0.001308
    26.000  0.403769  0.077032 -0.015469
    27.000  0.419303  0.079533 -0.029631
    28.000  0.434836  0.082035 -0.043792
    29.000  0.450369  0.084536 -0.057954
    30.000  0.465903  0.087037 -0.072116
    31.000  0.481436  0.089538 -0.086277
    32.000  0.496970  0.092039 -0.100439
    33.000  0.512503  0.094541 -0.114600
    34.000  0.528037  0.097042 -0.128762
    35.000  0.543570  0.099543 -0.142923
    36.000  0.559103  0.102044 -0.145674
    37.000  0.574637  0.104546 -0.148308
    38.000  0.590170  0.107047 -0.150820
    39.000  0.605704  0.109548 -0.153208
    40.000  0.621237  0.112049 -0.155470
    41.000  0.636771  0.114551 -0.157602
    42.000  0.652304  0.117052 -0.159601
    43.000  0.667838  0.119553 -0.161465
    44.000  0.683371  0.122054 -0.163191
    45.000  0.698904  0.124555 -0.164777
    46.000  0.714438  0.127057 -0.166220
    47.000  0.729971  0.129558 -0.167518
    48.000  0.745505  0.132059 -0.168667
    49.000  0.761038  0.134560 -0.169667
    50.000  0.776572  0.137062 -0.170515
    51.000  0.792105  0.139563 -0.171209
    52.000  0.807638  0.142064 -0.171746
    53.000  0.823172  0.144565 -0.172125
    54.000  0.838705  0.147067 -0.172344
    55.000  0.854239  0.149568 -0.172401
    56.000  0.869772  0.152069 -0.172294
    57.000  0.885306  0.154570 -0.172023
    58.000  0.900839  0.157072 -0.171585
    59.000  0.916372  0.159573 -0.170979
    60.000  0.931906  0.162074 -0.170203
    61.000  0.947439  0.164575 -0.169257
    62.000  0.962973  0.167076 -0.168140
    63.000  0.978506  0.169578 -0.166849
    64.000  0.994040  0.172079 -0.165385
    65.000  1.009573  0.174580 -0.163746
    66.000  1.025106  0.177081 -0.161932
    67.000  1.040640  0.179583 -0.159942
    68.000  1.056173  0.182084 -0.157775
    69.000  1.071707  0.184585 -0.155431
    70.000  1.087240  0.187086 -0.152910
    71.000  1.102774  0.189588 -0.150211
    72.000  1.118307  0.192089 -0.147334
    73.000  1.133840  0.194590 -0.144279
    74.000  1.149374  0.197091 -0.141046
    75.000  1.164907  0.199592 -0.137635
    76.000  1.180441  0.202094 -0.134046
    77.000  1.195974  0.204595 -0.130280
    78.000  1.211508  0.207096 -0.126336
    79.000  1.227041  0.209597 -0.122217
    80.000  1.242574  0.212099 -0.117921
    81.000  1.258108  0.214600 -0.113450
    82.000  1.273641  0.217101 -0.108804
    83.000  1.289175  0.219602 -0.103985
    84.000  1.304708  0.222104 -0.098993
    85.000  1.320242  0.224605 -0.093830
    86.000  1.335775  0.227106 -0.088496
    87.000  1.351308  0.229607 -0.082994
    88.000  1.366842  0.232109 -0.077323
    89.000  1.382375  0.234610 -0.071486
    90.000  1.397909  0.237111 -0.065485
    91.000  1.413442  0.239612 -0.059320
    92.000  1.428976  0.242113 -0.052994
    93.000  1.444509  0.244615 -0.046509
    94.000  1.460042  0.247116 -0.039866
    95.000  1.475576  0.249617 -0.033068
    96.000  1.491109  0.252118 -0.026116
    97.000  1.506643  0.254620 -0.019013
    98.000  1.522176  0.257121 -0.011761
    99.000  1.537710  0.259622 -0.004363
   100.000  1.553243  0.262123  0.003180
   101.000  1.568776  0.264625  0.010864
   102.000  1.584310  0.267126  0.018686
   103.000  1.599843  0.269627  0.026645
   104.000  1.615377  0.272128  0.034737
   105.000  1.630910  0.274629  0.042959
   106.000  1.646444  0.277131  0.051309
   107.000  1.661977  0.279632  0.059783
   108.000  1.677510  0.282133  0.068378
   109.000  1.693044  0.284634  0.077091
   110.000  1.708577  0.287136  0.085919
   111.000  1.724111  0.289637  0.094858
   112.000  1.739644  0.292138  0.103905
   113.000  1.755178  0.294639  0.113056
   114.000 -0.433380  0.297141 -0.122025
   115.000 -0.452033  0.299642 -0.126011
   116.000 -0.470121  0.302143 -0.130037
   117.000 -0.487618  0.304644 -0.134090
   118.000 -0.504500  0.307146 -0.138157
   119.000 -0.520741  0.309647 -0.142222
   120.000 -0.536318  0.312148 -0.146273
   121.000 -0.551209  0.314649 -0.150295
   122.000 -0.565391  0.317150 -0.154273
   123.000 -0.578843  0.319652 -0.158192
   124.000 -0.591544  0.322153 -0.162040
   125.000 -0.603476  0.324654 -0.165801
   126.000 -0.614621  0.327155 -0.169460
   127.000 -0.624961  0.329657 -0.173003
   128.000 -0.634479  0.332158 -0.176417
   129.000 -0.643162  0.334659 -0.179688
   130.000 -0.650995  0.337160 -0.182801
   131.000 -0.657966  0.339662 -0.185744
   132.000 -0.664064  0.342163 -0.188503
   133.000 -0.669278  0.344664 -0.191065
   134.000 -0.673600  0.347165 -0.193420
   135.000 -0.677022  0.349666 -0.195554
   136.000 -0.679540  0.352168 -0.197457
   137.000 -0.681147  0.354669 -0.199119
   138.000 -0.681842  0.357170 -0.200528
   139.000 -0.681623  0.359671 -0.201676
   140.000 -0.680490  0.362173 -0.202555
   141.000 -0.678445  0.364674 -0.203155
   142.000 -0.675493  0.367175 -0.203471
   143.000 -0.671638  0.369676 -0.203495
   144.000 -0.666888  0.372178 -0.203223
   145.000 -0.661252  0.374679 -0.202650
   146.000 -0.654743  0.377180 -0.201773
   147.000 -0.647374  0.379681 -0.200588
   148.000 -0.639162  0.382183 -0.199096
   149.000 -0.630126  0.384684 -0.197295
   150.000 -0.620289  0.387185 -0.195188
   151.000 -0.609677  0.389686 -0.192776
   152.000 -0.598320  0.392187 -0.190065
   153.000 -0.586254  0.394689 -0.187060
   154.000 -0.573520  0.397190 -0.183770
   155.000 -0.560167  0.399691 -0.180205
   156.000 -0.546253  0.402192 -0.176380
   157.000 -0.531850  0.404694 -0.172311
   158.000 -0.517045  0.407195 -0.168022
   159.000 -0.501949  0.409696 -0.163541
   160.000 -0.486708  0.412197 -0.158907
   161.000 -0.471517  0.414699 -0.154173
   162.000 -0.456650  0.417200 -0.149411
   163.000 -0.442510  0.419701 -0.144729
   164.000 -0.429729  0.422202 -0.140294
   165.000 -0.419365  0.424703 -0.136384
   166.000 -0.413388  0.427205 -0.133517
   167.000 -0.415964  0.429706 -0.132781
   168.000 -0.437881  0.432207 -0.136990
   169.000 -0.518868  0.434708 -0.156493
   170.000 -1.028182  0.437210 -0.287434
   171.000  0.511783  0.439711  0.115252
   172.000  0.052745  0.442212 -0.002456
   173.000 -0.024591  0.444713 -0.020721
   174.000 -0.046009  0.447215 -0.024371
   175.000 -0.049019  0.449716 -0.023179
   176.000 -0.044028  0.452217 -0.019860
   177.000 -0.035115  0.454718 -0.015482
   178.000 -0.024213  0.457219 -0.010555
   179.000 -0.012343  0.459721 -0.005350
   180.000 -0.000058  0.462222 -0.000015
   180.000 -0.000058  0.006022 -0.000015
